timestamp,ear,mar,alert_eye,alert_yawn,phone_near,mouth_open,fps
1763926383.0451348,0.2412,0.0484,0,0,0,0,24.64
1763926383.0839295,0.2438,0.0500,0,0,0,0,24.72
1763926383.1220527,0.2460,0.0656,0,0,0,0,24.85
1763926383.1620576,0.2486,0.0333,0,0,0,0,24.89
1763926383.2001984,0.2401,0.0702,0,0,0,0,25.00
1763926383.2422698,0.2418,0.0179,0,0,0,0,25.00
1763926383.286316,0.2291,0.0345,0,0,0,0,24.94
1763926383.3348546,0.2203,0.0351,0,0,0,0,24.80
1763926383.3831365,0.2139,0.0727,0,0,0,0,24.68
1763926383.4333527,0.2109,0.0545,0,0,0,0,24.53
1763926383.4848754,0.2137,0.0741,0,0,0,0,24.39
1763926383.5290887,0.2233,0.0555,0,0,0,0,24.45
1763926383.5713406,0.2234,0.0755,0,0,0,0,24.52
1763926383.6134834,0.2225,0.0577,0,0,0,0,24.69
1763926383.6523445,0.2233,0.0566,0,0,0,0,24.87
1763926383.6907706,0.2201,0.0555,0,0,0,0,25.08
1763926383.7305226,0.2185,0.0943,0,0,0,0,25.22
1763926383.7710602,0.2258,0.0962,0,0,0,0,25.42
1763926383.8225358,0.2266,0.0377,0,0,0,0,25.44
1763926383.864515,0.2342,0.0784,0,0,0,0,25.55
1763926383.9079838,0.2333,0.0566,0,0,0,0,25.51
1763926383.9484508,0.2345,0.0769,0,0,0,0,25.65
1763926383.9914007,0.2313,0.0377,0,0,0,0,25.69
1763926384.0396206,0.2304,0.0577,0,0,0,0,25.61
1763926384.084142,0.2274,0.0555,0,0,0,0,25.65
1763926384.1273246,0.2279,0.0555,0,0,0,0,25.62
1763926384.16582,0.2253,0.0377,0,0,0,0,25.69
1763926384.218646,0.2224,0.1000,0,0,0,0,25.89
1763926384.2646515,0.2224,0.0588,0,0,0,0,25.96
1763926384.303517,0.2207,0.0600,0,0,0,0,26.06
1763926384.3429465,0.2077,0.0577,0,0,0,0,26.12
1763926384.3866012,0.1889,0.0422,0,0,0,0,26.02
1763926384.4301958,0.1705,0.0566,0,0,0,0,25.89
1763926384.4722018,0.1539,0.0577,0,0,0,0,25.84
1763926384.513202,0.1473,0.0385,0,0,0,0,25.79
1763926384.5561347,0.1561,0.0755,0,0,0,0,25.72
1763926384.6035316,0.1771,0.0586,0,0,0,0,25.75
1763926384.644894,0.1946,0.0555,0,0,0,0,25.89
1763926384.6878955,0.2122,0.0566,0,0,0,0,26.00
1763926384.7290964,0.2193,0.0577,0,0,0,0,26.23
1763926384.768279,0.2287,0.0577,0,0,0,0,26.49
1763926384.8078303,0.2251,0.0566,0,0,0,0,26.57
1763926384.8500404,0.2254,0.0577,0,0,0,0,26.62
1763926384.8887236,0.2260,0.0566,0,0,0,0,26.65
1763926384.9364777,0.2288,0.0769,0,0,0,0,26.46
1763926384.9802976,0.2239,0.0377,0,0,0,0,26.34
1763926385.025718,0.2259,0.0943,0,0,0,0,26.21
1763926385.0661547,0.2236,0.0800,0,0,0,0,26.23
1763926385.1064281,0.2235,0.0597,0,0,0,0,26.35
1763926385.1502712,0.2156,0.1200,0,0,0,0,26.34
1763926385.195665,0.2127,0.0597,0,0,0,0,26.27
1763926385.2392359,0.2141,0.0577,0,0,0,0,26.23
1763926385.2789679,0.2185,0.0577,0,0,0,0,26.31
1763926385.3161318,0.2097,0.0566,0,0,0,0,26.50
1763926385.3558702,0.2114,0.0577,0,0,0,0,26.56
1763926385.395752,0.2114,0.0943,0,0,0,0,26.59
1763926385.4356499,0.2038,0.0808,0,0,0,0,26.55
1763926385.4792583,0.1964,0.0769,0,0,0,0,26.48
1763926385.5261188,0.1995,0.0577,0,0,0,0,26.36
1763926385.571177,0.2021,0.0778,0,0,0,0,26.22
1763926385.6117675,0.1960,0.0588,0,0,0,0,26.17
1763926385.6555898,0.1932,0.0370,0,0,0,0,26.18
1763926385.6980295,0.1857,0.0588,0,0,0,0,26.21
1763926385.7435803,0.1703,0.0755,1,0,0,0,26.15
1763926385.7842405,0.1640,0.0769,1,0,0,0,26.15
1763926385.825919,0.1683,0.0577,1,0,0,0,26.21
1763926385.8661225,0.1716,0.0981,1,0,0,0,26.24
1763926385.9086702,0.1832,0.0620,1,0,0,0,26.21
1763926385.9490848,0.2032,0.0962,1,0,0,0,26.26
1763926385.9887266,0.2091,0.0556,1,0,0,0,26.28
1763926386.0342147,0.2052,0.0755,1,0,0,0,26.13
1763926386.0772295,0.2110,0.0556,1,0,0,0,26.07
1763926386.1218016,0.2125,0.0784,1,0,0,0,25.96
1763926386.1673958,0.2058,0.0755,1,0,0,0,25.82
1763926386.2156193,0.2071,0.0961,1,0,0,0,25.82
1763926386.2601159,0.2113,0.0577,1,0,0,0,25.81
1763926386.3037453,0.2118,0.0608,1,0,0,0,25.85
1763926386.3460276,0.2168,0.1400,1,0,0,1,25.77
1763926386.3895483,0.2234,0.0727,1,0,0,1,25.77
1763926386.3915544,0.2234,0.0727,0,0,0,0,25.69
1763926386.4334826,0.2295,0.0769,0,0,0,0,25.68
1763926386.4793038,0.2368,0.0727,0,0,0,0,25.68
1763926386.5261111,0.2364,0.1386,0,0,0,1,25.53
1763926386.5705936,0.2357,0.0556,0,0,0,0,25.46
1763926386.6156108,0.2328,0.1041,0,0,0,0,25.31
1763926386.6545515,0.2276,0.0755,0,0,0,0,25.31
1763926386.6958487,0.2284,0.0755,0,0,0,0,25.30
1763926386.737639,0.2328,0.0555,0,0,0,0,25.26
1763926386.780481,0.2293,0.0577,0,0,0,0,25.30
1763926386.822132,0.2344,0.0769,0,0,0,0,25.38
1763926386.8631146,0.2360,0.0545,0,0,0,0,25.44
1763926386.9053836,0.2246,0.0962,0,0,0,0,25.42
1763926386.9520645,0.2200,0.0741,0,0,0,0,25.43
1763926386.9953735,0.2208,0.0755,0,0,0,0,25.43
1763926387.0335178,0.2137,0.0769,0,0,0,0,25.54
1763926387.0729206,0.2077,0.0577,0,0,0,0,25.58
1763926387.1146405,0.2134,0.0926,0,0,0,0,25.61
1763926387.1606548,0.2121,0.0769,0,0,0,0,25.52
1763926387.2009642,0.2163,0.0755,0,0,0,0,25.59
1763926387.2452135,0.2191,0.0800,0,0,0,0,25.50
1763926387.286467,0.2244,0.0588,0,0,0,0,25.43
1763926387.330009,0.2078,0.0566,0,0,0,0,25.49
1763926387.3715487,0.1952,0.0784,0,0,0,0,25.52
1763926387.420236,0.1887,0.0586,0,0,0,0,25.52
1763926387.4651864,0.1857,0.0741,0,0,0,0,25.55
1763926387.5053,0.1908,0.0741,0,0,0,0,25.71
1763926387.5439987,0.2095,0.0351,0,0,0,0,25.83
1763926387.584199,0.2180,0.0545,0,0,0,0,25.90
1763926387.6287916,0.2222,0.0667,0,0,0,0,25.86
1763926387.6710892,0.2288,0.0517,0,0,0,0,25.91
1763926387.71518,0.2261,0.0517,0,0,0,0,25.88
1763926387.757787,0.2252,0.0806,0,0,0,0,25.96
1763926387.81751,0.2291,0.0476,0,0,0,0,26.08
1763926387.8681023,0.2274,0.0462,0,0,0,0,25.94
1763926387.911377,0.2254,0.0615,0,0,0,0,25.98
1763926387.9508712,0.2271,0.0909,0,0,0,0,25.99
1763926387.990025,0.2347,0.0448,0,0,0,0,26.03
1763926388.028761,0.2431,0.0606,0,0,0,0,26.12
1763926388.0673804,0.2443,0.0290,0,0,0,0,26.21
1763926388.105105,0.2500,0.0454,0,0,0,0,26.30
1763926388.14397,0.2505,0.0580,0,0,0,0,26.36
1763926388.197521,0.2514,0.0286,0,0,0,0,26.10
1763926388.2536316,0.2472,0.0435,0,0,0,0,25.79
1763926388.2984936,0.2522,0.0282,0,0,0,0,25.77
1763926388.3388743,0.2486,0.0411,0,0,0,0,25.74
1763926388.3811479,0.2489,0.0540,0,0,0,0,25.64
1763926388.429502,0.2434,0.0417,0,0,0,0,25.51
1763926388.4745188,0.2411,0.0282,0,0,0,0,25.51
1763926388.5169683,0.2407,0.0263,0,0,0,0,25.45
1763926388.5609133,0.2443,0.0423,0,0,0,0,25.47
1763926388.6359296,0.2488,0.0267,0,0,0,0,25.44
1763926388.684279,0.2548,0.0267,0,0,0,0,25.34
1763926388.7279823,0.2623,0.0411,0,0,0,0,25.31
1763926388.7676735,0.2673,0.0533,0,0,0,0,25.40
1763926388.8092868,0.2675,0.0278,0,0,0,0,25.45
1763926388.8523285,0.2660,0.0267,0,0,0,0,25.40
1763926388.895634,0.2696,0.0429,0,0,0,0,25.28
1763926388.9392052,0.2720,0.0400,0,0,0,0,25.23
1763926388.9807372,0.2688,0.0556,0,0,0,0,25.28
1763926389.0222778,0.2703,0.0429,0,0,0,0,25.30
1763926389.0662837,0.2681,0.0714,0,0,0,0,25.34
1763926389.1152554,0.2659,0.0267,0,0,0,0,25.20
1763926389.1553924,0.2645,0.0411,0,0,0,0,25.24
1763926389.1966474,0.2662,0.0563,0,0,0,0,25.46
1763926389.235115,0.2711,0.0579,0,0,0,0,25.55
1763926389.274649,0.2764,0.0556,0,0,0,0,25.54
1763926389.3148904,0.2770,0.0405,0,0,0,0,25.56
1763926389.3597033,0.2721,0.0290,0,0,0,0,25.40
1763926389.4038992,0.2715,0.0302,0,0,0,0,25.27
1763926389.447697,0.2655,0.0411,0,0,0,0,25.12
1763926389.4891474,0.2466,0.0563,0,0,0,0,25.06
1763926389.532056,0.2216,0.0441,0,0,0,0,25.33
